timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz]
2023/04/15 12:40:09.296, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 29.35 W, 35, 0 MHz
2023/04/15 12:40:10.299, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 29.20 W, 35, 0 MHz
2023/04/15 12:40:11.302, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 29.10 W, 35, 0 MHz
2023/04/15 12:40:12.304, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 29.14 W, 35, 0 MHz
2023/04/15 12:40:13.306, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 29.13 W, 35, 0 MHz
2023/04/15 12:40:14.309, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 34.57 W, 38, 1860 MHz
2023/04/15 12:40:15.311, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 114.64 W, 42, 1860 MHz
2023/04/15 12:40:16.313, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 118.39 W, 43, 1860 MHz
2023/04/15 12:40:17.315, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 118.53 W, 43, 1860 MHz
2023/04/15 12:40:18.317, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 118.74 W, 44, 1860 MHz
2023/04/15 12:40:19.319, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 118.74 W, 44, 1860 MHz
2023/04/15 12:40:20.320, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 118.76 W, 44, 1860 MHz
2023/04/15 12:40:21.322, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 118.90 W, 44, 1860 MHz
2023/04/15 12:40:22.324, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 118.91 W, 45, 1860 MHz
2023/04/15 12:40:23.326, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 119.08 W, 45, 1860 MHz
2023/04/15 12:40:24.328, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 119.12 W, 45, 1860 MHz
2023/04/15 12:40:25.329, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 119.18 W, 45, 1860 MHz
2023/04/15 12:40:26.331, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 119.25 W, 45, 1860 MHz
2023/04/15 12:40:27.333, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 119.58 W, 45, 1860 MHz
2023/04/15 12:40:28.335, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 119.96 W, 45, 1860 MHz
2023/04/15 12:40:29.336, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 119.96 W, 46, 1860 MHz
2023/04/15 12:40:30.338, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 120.20 W, 46, 1860 MHz
2023/04/15 12:40:31.340, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 120.99 W, 46, 1860 MHz
2023/04/15 12:40:32.342, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 121.55 W, 46, 1860 MHz
2023/04/15 12:40:33.344, 12 %, 4 %, 24576 MiB, 23327 MiB, 940 MiB, 126.88 W, 46, 1860 MHz
2023/04/15 12:40:34.346, 7 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 126.78 W, 46, 1860 MHz
2023/04/15 12:40:35.349, 6 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 126.15 W, 47, 1860 MHz
2023/04/15 12:40:36.351, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 126.48 W, 47, 1860 MHz
2023/04/15 12:40:37.353, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 126.68 W, 47, 1860 MHz
2023/04/15 12:40:38.355, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 126.14 W, 47, 1860 MHz
2023/04/15 12:40:39.357, 4 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 125.69 W, 47, 1860 MHz
2023/04/15 12:40:40.359, 7 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 126.61 W, 47, 1860 MHz
2023/04/15 12:40:41.361, 6 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 126.75 W, 47, 1860 MHz
2023/04/15 12:40:42.363, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 126.94 W, 47, 1860 MHz
2023/04/15 12:40:43.366, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 127.11 W, 47, 1860 MHz
2023/04/15 12:40:44.368, 5 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 127.04 W, 47, 1860 MHz
2023/04/15 12:40:45.370, 7 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 126.65 W, 48, 1860 MHz
2023/04/15 12:40:46.372, 6 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 126.81 W, 48, 1860 MHz
2023/04/15 12:40:47.374, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 127.25 W, 48, 1860 MHz
2023/04/15 12:40:48.376, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 127.13 W, 48, 1860 MHz
2023/04/15 12:40:49.378, 4 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 126.67 W, 48, 1860 MHz
2023/04/15 12:40:50.381, 7 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 126.74 W, 48, 1860 MHz
2023/04/15 12:40:51.383, 5 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 126.69 W, 48, 1860 MHz
2023/04/15 12:40:52.386, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 126.67 W, 48, 1860 MHz
2023/04/15 12:40:53.388, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 126.75 W, 48, 1860 MHz
2023/04/15 12:40:54.390, 5 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 127.00 W, 48, 1860 MHz
2023/04/15 12:40:55.392, 7 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 126.74 W, 48, 1860 MHz
2023/04/15 12:40:56.394, 6 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 127.06 W, 49, 1860 MHz
2023/04/15 12:40:57.397, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 127.11 W, 49, 1860 MHz
2023/04/15 12:40:58.399, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 127.18 W, 49, 1860 MHz
2023/04/15 12:40:59.401, 7 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 127.29 W, 49, 1860 MHz
2023/04/15 12:41:00.404, 6 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 127.16 W, 49, 1860 MHz
2023/04/15 12:41:01.406, 4 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 127.20 W, 49, 1860 MHz
2023/04/15 12:41:02.408, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 127.46 W, 49, 1860 MHz
2023/04/15 12:41:03.411, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 127.50 W, 49, 1860 MHz
2023/04/15 12:41:04.413, 7 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 127.87 W, 49, 1860 MHz
2023/04/15 12:41:05.415, 6 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 127.59 W, 49, 1860 MHz
2023/04/15 12:41:06.418, 4 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 127.96 W, 50, 1860 MHz
2023/04/15 12:41:07.419, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 128.14 W, 50, 1860 MHz
2023/04/15 12:41:08.421, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 128.14 W, 49, 1860 MHz
